soil_type,temperature,rainfall,season,label
clay,20.2801937,191.9535738,summer,rice
black,21.7238313,277.9626192,monsoon,rice
clay,20.41447029,245.1511304,monsoon,rice
sandy,25.75528612,245.6626799,monsoon,rice
loamy,20.61521424,279.5451717,monsoon,rice
loamy,21.84106875,202.3838319,monsoon,rice
sandy,20.08369642,263.6372176,monsoon,rice
clay,24.45802087,182.5616319,summer,rice
black,21.14347496,198.6730942,summer,rice
sandy,25.78720567,243.5120414,monsoon,rice
clay,23.64124821,263.1103304,monsoon,rice
loamy,23.43191632,269.5039162,monsoon,rice
sandy,24.97669518,204.8001847,monsoon,rice
clay,22.72791041,260.8875056,monsoon,rice
loamy,24.87300744,295.6094492,monsoon,rice
loamy,21.32376327,192.3197536,summer,rice
loamy,26.29465461,257.4914906,monsoon,rice
clay,22.2286982,278.0791793,monsoon,rice
loamy,26.73072391,280.4044392,monsoon,rice
sandy,24.88921174,185.9461429,summer,rice
sandy,26.88444878,194.5766559,summer,rice
clay,22.67846116,200.9133156,monsoon,rice
black,26.08867875,182.9043504,summer,rice
black,25.42977518,195.3574542,summer,rice
black,26.40323239,223.3671883,monsoon,rice
clay,26.04371967,186.7536773,summer,rice
clay,25.2827223,220.1156708,monsoon,rice
black,22.08576562,231.7364957,monsoon,rice
clay,23.28617173,242.3170629,monsoon,rice
clay,25.48591986,182.6549356,summer,rice
sandy,23.67575393,233.7034975,monsoon,rice
clay,20.82477109,230.2242223,monsoon,rice
clay,26.92995077,290.6793783,monsoon,rice
loamy,23.83509503,241.2013513,monsoon,rice
black,26.52872817,218.9163567,monsoon,rice
loamy,26.46428311,248.2256491,monsoon,rice
clay,22.69657794,256.9964761,monsoon,rice
black,22.68319059,194.2651719,summer,rice
clay,21.53346343,295.9248796,monsoon,rice
clay,21.40865769,287.5766935,monsoon,rice
sandy,26.54348085,183.6222657,summer,rice
loamy,23.35905428,188.413665,summer,rice
sandy,22.61359953,87.75953857,winter,maize
black,26.10018422,102.2662445,summer,maize
sandy,23.55882094,66.71995467,winter,maize
loamy,19.97215954,60.65171481,winter,maize
black,18.47891261,65.43835393,winter,maize
sandy,21.77689322,102.0861694,summer,maize
sandy,25.6217169,105.4654703,summer,maize
clay,25.19192419,78.06639649,winter,maize
sandy,20.41683147,65.27798457,winter,maize
loamy,24.92162194,109.2162279,summer,maize
loamy,23.31689124,94.29712821,winter,maize
clay,24.84016732,74.05474936,winter,maize
sandy,22.27526694,63.87020584,winter,maize
sandy,18.87751445,94.76189431,winter,maize
sandy,25.19008683,72.12375573,winter,maize
black,18.25405352,63.72358154,winter,maize
clay,24.6129118,104.1626147,summer,maize
sandy,25.1420613,76.68456006,winter,maize
black,23.09348056,65.49730729,winter,maize
sandy,18.05033737,84.23613484,winter,maize
clay,24.9321581,79.74078719,winter,maize
black,18.14710054,88.07753741,winter,maize
clay,18.28362235,80.97573281,winter,maize
sandy,18.83344471,79.7532895999999,winter,maize
black,25.71895816,74.51490791,winter,maize
loamy,25.33797709,96.46380213,winter,maize
sandy,23.89114571,102.8301942,summer,maize
loamy,21.53574127,102.4852929,summer,maize
loamy,23.08974909,70.43473609,winter,maize
sandy,25.61707368,108.8303762,summer,maize
black,21.44526922,65.88951188,winter,maize
loamy,18.51816776,90.988051,winter,maize
black,22.53510514,64.40866039,winter,maize
black,23.02038334,63.03843397,winter,maize
clay,24.89364635,87.9298085,winter,maize
black,25.77175115,107.4931917,summer,maize
clay,19.39851734,60.95197486,winter,maize
black,21.54156232,109.7515385,summer,maize
black,23.79746068,91.76337172,winter,maize
clay,18.9802729,94.26249353,winter,maize
clay,24.10859207,71.07562236,winter,maize
black,24.7947077,76.72860067,winter,maize
clay,21.63162756,69.21803098,winter,maize
clay,25.37548751,101.7004306,summer,maize
sandy,22.21738222,106.6213157,summer,maize
loamy,20.58314011,66.29390357,winter,maize
clay,24.87502824,91.26056654,winter,maize
clay,20.03728219,109.024141,summer,maize
loamy,25.95263264,99.57981207,winter,maize
sandy,19.28889933,71.3195307,winter,maize
black,20.57981887,78.34604471,winter,maize
sandy,24.71417533,88.45361858,winter,maize
clay,20.27317074,62.50351892,winter,maize
sandy,18.41932981,76.41312437,winter,maize
clay,23.39128187,107.3198135,summer,maize
black,19.84939404,100.7689246,summer,maize
black,21.869274,107.2681929,summer,maize
sandy,22.8056033,101.5952794,summer,maize
clay,19.0781471,80.72515943,winter,maize
black,22.02720976,83.73280082,winter,maize
loamy,23.80546189,89.9622014,winter,maize
sandy,18.52510753,88.10234397,winter,maize
loamy,23.50297882,64.77791424,winter,maize
clay,26.54986394,73.33636055,winter,maize
black,19.29563411,83.21030571,winter,maize
sandy,20.68899915,103.651438,summer,maize
clay,19.32666088,84.22969177,winter,maize
loamy,24.60532218,96.59195302,winter,maize
sandy,22.27373646,67.96704792,winter,maize
clay,25.70196694,83.20711308,winter,maize
black,19.20129357,87.85092352,winter,maize
black,21.70181447,95.71388473,winter,maize
sandy,20.51716779,67.61013737,winter,maize
clay,23.30355338,97.59081274,winter,maize
loamy,24.2547451,64.23845455,winter,maize
clay,24.86374934,75.82270467,winter,maize
black,22.6265115,88.17251033,winter,maize
loamy,18.04185513,104.2321615,summer,maize
sandy,23.26237612,67.10225139,winter,maize
black,22.88330922,67.72777298,winter,maize
sandy,25.97482359,103.2234212,summer,maize
sandy,26.14384005,107.2361366,summer,maize
sandy,18.66116213,75.03247667,winter,maize
clay,25.10787449,78.16077693,winter,maize
clay,23.33844615,105.0083144,summer,maize
clay,25.08239719,62.49190812,winter,maize
sandy,25.36768364,107.9124111,summer,maize
loamy,25.34217103,74.52082026,winter,maize
loamy,25.00933355,62.91359494,winter,maize
black,18.66746724,69.93293255,winter,maize
sandy,20.37999665,108.5054416,summer,maize
sandy,18.09300227,78.96159541,winter,maize
black,26.16985907,79.84925393,winter,maize
black,18.65396672,93.62039175,winter,maize
loamy,26.07470121,85.75692395,winter,maize
loamy,18.92851916,82.34162918,winter,maize
black,23.30546753,108.7603001,summer,maize
sandy,18.74826712,70.23401597,winter,maize
clay,19.74213321,65.50861389,winter,maize
loamy,25.73044432,98.73771338,winter,maize
sandy,17.02498456,88.55123143,winter,chickpea
black,19.02061277,79.92698081,winter,chickpea
black,17.88776475,68.54932919,winter,chickpea
clay,18.86805647,88.51048983,winter,chickpea
sandy,18.36952567,79.26357665,winter,chickpea
sandy,20.45078582,92.68373702,winter,chickpea
sandy,20.6543203,74.6631118,winter,chickpea
clay,17.3348681,82.61734721,winter,chickpea
sandy,18.17912258,81.84997529,winter,chickpea
black,18.01272266,81.98568791,winter,chickpea
black,20.99373558,93.55280105,winter,chickpea
clay,19.46233971,74.58565097,winter,chickpea
black,19.81344531,78.96514709,winter,chickpea
black,18.97424756,80.7108745,winter,chickpea
sandy,18.19737048,70.18185181,winter,chickpea
black,18.72963144,71.58010169,winter,chickpea
clay,20.99502153,73.50734019,winter,chickpea
clay,20.28155898,82.52339655,winter,chickpea
sandy,17.48042641,66.96980581,winter,chickpea
sandy,20.88818675,90.46228334,winter,chickpea
loamy,17.08498521,71.31007253,winter,chickpea
black,20.09340593,85.74904898,winter,chickpea
loamy,17.57212145,89.31050665,winter,chickpea
sandy,19.12065218,85.52950164,winter,chickpea
clay,18.57665902,72.94940441,winter,chickpea
clay,17.16606398,72.32667516,winter,chickpea
black,18.2872007,74.87445574,winter,chickpea
clay,19.03025305,94.70992037,winter,chickpea
sandy,17.1418613999999,83.74606679,winter,chickpea
black,17.47809436,78.92060234,winter,chickpea
sandy,20.56601874,83.75937135,winter,chickpea
black,17.22385224,76.57580954,winter,chickpea
black,19.69141713,91.76071648,winter,chickpea
loamy,17.84851658,76.32470713,winter,chickpea
sandy,18.8202251,89.73119396,winter,chickpea
sandy,17.47500984,93.35034262,winter,chickpea
clay,18.72649425,81.20176515,winter,chickpea
black,18.65580107,81.70769297,winter,chickpea
sandy,18.2356751,83.74879344,winter,chickpea
loamy,18.81198127,77.5429424,winter,chickpea
sandy,18.65054116,77.92798682,winter,chickpea
loamy,20.36720401,82.2545577,winter,chickpea
loamy,18.38120357,70.52056697,winter,chickpea
sandy,17.17012591,72.78624223,winter,chickpea
loamy,19.37101121,85.24819851,winter,chickpea
loamy,17.92845928,85.37378769,winter,chickpea
sandy,19.45339934,75.6317566,winter,chickpea
loamy,19.12829388,89.61857826,winter,chickpea
clay,19.1034283,75.49101167,winter,chickpea
loamy,17.48504075,86.05078037,winter,chickpea
sandy,19.40751744,80.25064637,winter,chickpea
loamy,20.18649426,78.26039559,winter,chickpea
black,17.30287885,75.57790384,winter,chickpea
black,17.50361137,72.9446671,winter,chickpea
black,18.17234999,90.7760707,winter,chickpea
loamy,17.57445618,77.81891424,winter,chickpea
sandy,20.93175255,78.06910795,winter,chickpea
sandy,19.71098332,85.57925437,winter,chickpea
clay,19.07937684,69.40619137,winter,chickpea
black,18.54988627,76.32565249,winter,chickpea
loamy,18.19903647,80.6405403,winter,chickpea
black,18.88852533,80.1113384,winter,chickpea
sandy,18.49311205,91.94595352,winter,chickpea
sandy,19.48974337,87.51312796,winter,chickpea
black,17.25769499,94.00287214,winter,chickpea
loamy,19.62416326,88.4585692,winter,chickpea
loamy,20.67526473,84.78344008,winter,chickpea
sandy,20.02381489,68.97806542,winter,chickpea
sandy,20.1187446,88.68168643,winter,chickpea
sandy,20.65691793,65.23811143,winter,chickpea
sandy,19.2582557,65.78042032,winter,chickpea
sandy,17.927806,74.63872762,winter,chickpea
loamy,19.16288268,82.69766829,winter,chickpea
black,20.26942271,69.64449182,winter,chickpea
loamy,17.09104223,87.27444866,winter,chickpea
sandy,17.06579293,70.87150577,winter,chickpea
clay,20.62767492,92.06630306,winter,chickpea
sandy,20.8248451,79.20509212,winter,chickpea
clay,19.46210401,68.81405149,winter,chickpea
loamy,17.18248372,72.85017344,winter,chickpea
loamy,17.48911699,79.45758333,winter,chickpea
black,17.48395377,65.11365631,winter,chickpea
black,19.48316794,80.4986291,winter,chickpea
black,19.71359733,73.64476535,winter,chickpea
clay,19.48649305,81.5284269,winter,chickpea
sandy,19.95264829,88.6810311,winter,chickpea
sandy,19.41789736,68.4951189,winter,chickpea
sandy,19.45591848,78.44910564,winter,chickpea
sandy,20.19137759,77.33795356,winter,chickpea
clay,18.8392908,94.78189594,winter,chickpea
sandy,20.71219282,94.03659867,winter,chickpea
loamy,18.99424448,78.69707199,winter,chickpea
loamy,19.96837462,69.15759062,winter,chickpea
clay,17.81564548,90.82097601,winter,chickpea
loamy,20.71424384,76.77888672,winter,chickpea
sandy,17.34150229,67.9545435,winter,chickpea
sandy,17.43732714,73.0926704,winter,chickpea
loamy,18.89780215,69.09512477,winter,chickpea
loamy,18.59190771,89.60982451,winter,chickpea
black,18.31561493,81.78710463,winter,chickpea
loamy,17.13692774,128.256862,summer,kidneybeans
clay,19.63474332,106.3598183,summer,kidneybeans
loamy,22.91350245,109.225556,summer,kidneybeans
black,16.43340342,140.3717815,summer,kidneybeans
sandy,22.13974653,76.64128258,winter,kidneybeans
sandy,17.84806561,143.098417099999,summer,kidneybeans
sandy,19.88394011,60.91974792,winter,kidneybeans
sandy,19.32509638,104.7783947,summer,kidneybeans
black,18.4167001,132.9801054,summer,kidneybeans
black,21.81167649,130.0608093,summer,kidneybeans
clay,19.72702528,143.7630894,summer,kidneybeans
black,17.15432954,87.99669731,winter,kidneybeans
sandy,19.62207826,144.1567454,summer,kidneybeans
sandy,21.63149148,134.3649948,summer,kidneybeans
loamy,16.06522754,88.06638775,winter,kidneybeans
black,20.61162204,69.63833855,winter,kidneybeans
loamy,21.42451099,116.5206923,summer,kidneybeans
sandy,19.07096165,86.21917578,winter,kidneybeans
black,21.18853178,137.1948633,summer,kidneybeans
sandy,23.0429097,108.3684316,summer,kidneybeans
sandy,20.65375833,67.71768947,winter,kidneybeans
sandy,18.09551014,144.7902323,summer,kidneybeans
loamy,18.23775702,69.44951585,winter,kidneybeans
sandy,17.48189735,121.9401369,summer,kidneybeans
loamy,19.9191786,82.68554379,winter,kidneybeans
black,20.27514686,139.7521543,summer,kidneybeans
sandy,15.77370214,108.3441414,summer,kidneybeans
clay,16.71170642,96.77285817,winter,kidneybeans
sandy,17.66148158,100.6711761,summer,kidneybeans
loamy,18.50692825,87.0513289,winter,kidneybeans
black,24.51324787,64.19497947,winter,kidneybeans
black,18.87614998,105.4120514,summer,kidneybeans
loamy,21.59343016,61.13872036,winter,kidneybeans
sandy,20.12373284,106.158201,summer,kidneybeans
loamy,15.43546065,139.0302034,summer,kidneybeans
clay,22.64236876,122.3886015,summer,kidneybeans
loamy,21.98560799,129.5650601,summer,kidneybeans
loamy,20.53052663,120.4509288,summer,kidneybeans
clay,15.78601387,95.17028129,winter,kidneybeans
black,19.6365349,96.65888933,winter,kidneybeans
black,20.57341244,87.87869161,winter,kidneybeans
loamy,20.16080524,138.2362122,summer,kidneybeans
black,21.53989176,120.6913038,summer,kidneybeans
loamy,15.53834801,107.3850593,summer,kidneybeans
sandy,19.91853092,108.6434544,summer,kidneybeans
sandy,20.76952209,109.0193712,summer,kidneybeans
clay,23.46168338,95.84253438,winter,kidneybeans
black,24.32116642,60.27552528,winter,kidneybeans
sandy,20.12574053,100.0497183,summer,kidneybeans
sandy,21.80619564,125.0972687,summer,kidneybeans
loamy,19.52226241,113.334026,summer,kidneybeans
clay,17.00067625,103.2926407,summer,kidneybeans
loamy,16.78791503,75.45328039,winter,kidneybeans
sandy,24.84906168,62.21292186,winter,kidneybeans
black,16.51783455,98.77794225,winter,kidneybeans
black,18.15300153,107.6907964,summer,kidneybeans
clay,23.18864385,63.38208822,winter,kidneybeans
sandy,23.38002569,87.66898664,winter,kidneybeans
clay,18.358923,138.414764,summer,kidneybeans
clay,19.25975367,94.9533526,winter,kidneybeans
clay,22.95458237,107.7315386,summer,kidneybeans
sandy,20.120043,104.6252153,summer,kidneybeans
black,21.14011423,141.6056722,summer,kidneybeans
sandy,24.92360104,62.7089169,winter,kidneybeans
black,15.33042636,135.3315583,summer,kidneybeans
sandy,18.81097271,125.084915,summer,kidneybeans
loamy,23.44260668,107.4137246,summer,kidneybeans
sandy,22.8352024,63.59276673,winter,kidneybeans
loamy,24.9035819,146.4727237,summer,kidneybeans
sandy,23.78709569,119.6404412,summer,kidneybeans
loamy,22.05592283,126.7265372,summer,kidneybeans
black,18.87492997,134.1811718,summer,kidneybeans
loamy,18.62328774,135.3378033,summer,kidneybeans
clay,23.00884744,100.118612,summer,kidneybeans
loamy,19.33162606,68.51253427,winter,kidneybeans
black,16.24469193,66.97053257,winter,kidneybeans
black,17.91652287,69.14681022,winter,kidneybeans
sandy,15.46789263,88.88796102,winter,kidneybeans
black,17.06104474,81.83420522,winter,kidneybeans
black,21.32776028,109.1013261,summer,kidneybeans
black,23.90910104,81.60211243,winter,kidneybeans
black,23.89756791,112.6616435,summer,kidneybeans
sandy,22.98666928,143.8584938,summer,kidneybeans
black,21.35135729,146.4548645,summer,kidneybeans
sandy,24.1638445,116.7324324,summer,kidneybeans
clay,24.62835037,149.7441028,summer,kidneybeans
loamy,21.02213209,124.6118471,summer,kidneybeans
clay,17.30844532,115.199245,summer,kidneybeans
clay,23.82576704,84.64143632,winter,kidneybeans
clay,19.30607278,129.3449326,summer,kidneybeans
sandy,16.03768615,130.3900798,summer,kidneybeans
clay,19.18572809,80.15293435,winter,kidneybeans
black,19.92889503,64.02640797,winter,kidneybeans
sandy,19.56376468,139.2921004,summer,kidneybeans
black,18.31357543,76.14153904,winter,kidneybeans
sandy,20.10993761,73.36386477,winter,kidneybeans
black,23.60506572,100.5978728,summer,kidneybeans
black,19.73136909,84.06354115,winter,kidneybeans
loamy,20.93409877,133.1914419,summer,kidneybeans
black,18.78226261,104.2570723,summer,kidneybeans
clay,36.51268371,122.6539694,summer,pigeonpeas
sandy,36.89163721,163.7266551,summer,pigeonpeas
clay,29.23540524,103.3301803,summer,pigeonpeas
sandy,27.33534897,142.330367699999,summer,pigeonpeas
sandy,21.0643684,184.6226709,summer,pigeonpeas
black,30.33276599,149.299952,summer,pigeonpeas
black,31.80130272,147.036144199999,summer,pigeonpeas
loamy,33.18184225,198.8298806,summer,pigeonpeas
loamy,29.38538562,90.05422663,winter,pigeonpeas
clay,30.27374995,127.7767134,summer,pigeonpeas
black,35.45790488,108.6333046,summer,pigeonpeas
black,33.80020039,176.6165894,summer,pigeonpeas
black,28.69180475,96.36222901,winter,pigeonpeas
sandy,31.24021696,122.0146733,summer,pigeonpeas
loamy,28.98039357,120.7435664,summer,pigeonpeas
loamy,27.32198928,96.51524028,winter,pigeonpeas
clay,21.47607807,180.382234,summer,pigeonpeas
clay,18.31910448,107.4721605,summer,pigeonpeas
sandy,36.97794384,161.4812963,summer,pigeonpeas
black,24.80467592,121.5639121,summer,pigeonpeas
clay,19.3479443,194.5921148,summer,pigeonpeas
black,28.88302142,179.2155874,summer,pigeonpeas
black,19.54314136,192.4372194,summer,pigeonpeas
black,24.7741949,114.2821387,summer,pigeonpeas
loamy,18.33124824,139.648331699999,summer,pigeonpeas
sandy,19.14729038,132.7748215,summer,pigeonpeas
loamy,28.23416057,186.5008581,summer,pigeonpeas
sandy,30.11812084,157.0858232,summer,pigeonpeas
sandy,33.4126864,139.6702541,summer,pigeonpeas
sandy,24.18553163,177.3377996,summer,pigeonpeas
sandy,26.88630675,94.46748008,winter,pigeonpeas
black,31.33170829,161.7820226,summer,pigeonpeas
sandy,33.30711818,108.5090168,summer,pigeonpeas
sandy,23.45379018,150.871220199999,summer,pigeonpeas
loamy,34.53823889,168.5948318,summer,pigeonpeas
loamy,19.50112224,197.3752649,summer,pigeonpeas
sandy,28.76794904,91.72084869,winter,pigeonpeas
sandy,30.97758716,180.716828,summer,pigeonpeas
sandy,18.39759147,93.12330644,winter,pigeonpeas
black,35.09357419,116.9106908,summer,pigeonpeas
sandy,34.93174223,159.2649827,summer,pigeonpeas
black,29.50523036,187.8961851,summer,pigeonpeas
clay,34.51934775,129.0064612,summer,pigeonpeas
black,28.43430726,147.0414824,summer,pigeonpeas
loamy,18.41645629,163.2747473,summer,pigeonpeas
sandy,31.07508973,91.31256412,winter,pigeonpeas
loamy,20.89342749,195.5697875,summer,pigeonpeas
sandy,30.90607799,170.9919828,summer,pigeonpeas
loamy,27.9348279,145.3728801,summer,pigeonpeas
sandy,35.95176642,136.0456753,summer,pigeonpeas
black,19.54317155,173.1686574,summer,pigeonpeas
sandy,19.63736208,176.4134092,summer,pigeonpeas
loamy,31.2192752,129.202865299999,summer,pigeonpeas
black,33.50876355,126.6738117,summer,pigeonpeas
clay,24.80710166,188.4928637,summer,pigeonpeas
sandy,36.20970524,191.0658531,summer,pigeonpeas
sandy,30.50420876,162.5927723,summer,pigeonpeas
sandy,26.01630259,160.333744699999,summer,pigeonpeas
sandy,31.48469278,100.546816,summer,pigeonpeas
loamy,33.15122581,105.038027499999,summer,pigeonpeas
sandy,23.50222822,192.3023991,summer,pigeonpeas
sandy,34.87248659,148.250278599999,summer,pigeonpeas
clay,28.09269012,197.1144011,summer,pigeonpeas
sandy,24.54757829,118.3606557,summer,pigeonpeas
clay,33.64769646,100.4673278,summer,pigeonpeas
loamy,20.5591255,191.0895109,summer,pigeonpeas
clay,19.95991719,195.787103,summer,pigeonpeas
sandy,28.87667593,182.2688175,summer,pigeonpeas
loamy,36.04353699,159.8938645,summer,pigeonpeas
black,23.6734328,141.125072199999,summer,pigeonpeas
black,25.74679443,100.7791633,summer,pigeonpeas
loamy,31.08564994,175.9303271,summer,pigeonpeas
clay,18.72987676,139.8710041,summer,pigeonpeas
clay,29.50304807,189.5208915,summer,pigeonpeas
sandy,20.43517772,137.227966199999,summer,pigeonpeas
clay,36.00415838,134.8596466,summer,pigeonpeas
black,31.46846241,174.5723999,summer,pigeonpeas
loamy,36.30049702,101.6073988,summer,pigeonpeas
loamy,29.49096726,153.2504506,summer,pigeonpeas
loamy,30.5753044,177.5764304,summer,pigeonpeas
sandy,24.69487673,91.95792434,winter,pigeonpeas
loamy,23.17409556,162.5931264,summer,pigeonpeas
sandy,19.04380471,155.3705624,summer,pigeonpeas
sandy,29.32379604,165.4113371,summer,pigeonpeas
loamy,34.6455408,180.9009998,summer,pigeonpeas
clay,21.9989826,136.827431199999,summer,pigeonpeas
sandy,22.99774444,159.689339,summer,pigeonpeas
sandy,30.55992394,178.8998611,summer,pigeonpeas
black,31.46417866,165.405354,summer,pigeonpeas
clay,25.95058595,109.1821183,summer,pigeonpeas
black,21.01142393,185.2039114,summer,pigeonpeas
loamy,19.25100056,149.063196,summer,pigeonpeas
black,19.24462755,180.6465282,summer,pigeonpeas
loamy,22.47253208,96.74706956,winter,pigeonpeas
sandy,36.75087487,124.6028153,summer,pigeonpeas
clay,29.89286629,198.1403003,summer,pigeonpeas
loamy,29.37735586,172.40168,summer,pigeonpeas
clay,29.65052947,186.9226052,summer,pigeonpeas
black,19.54284889,173.110698199999,summer,pigeonpeas
clay,20.04611791,122.4564203,summer,pigeonpeas
clay,27.91095209,32.67891866,winter,mothbeans
black,27.32220619,36.5037914,winter,mothbeans
black,28.66024187,36.92629678,winter,mothbeans
loamy,29.02955344,72.98016599,winter,mothbeans
black,27.78031515,32.05025323,winter,mothbeans
sandy,31.99928579,71.6266696,winter,mothbeans
sandy,27.33580911,73.44775287,winter,mothbeans
black,28.92952635,66.35634104,winter,mothbeans
sandy,27.65472156,36.94255012,winter,mothbeans
loamy,28.52396666,61.32935611,winter,mothbeans
sandy,31.02215872,53.56783314,winter,mothbeans
sandy,25.74095321,67.43488235,winter,mothbeans
black,31.70447482,44.94317432,winter,mothbeans
loamy,24.47876451,34.96933295,winter,mothbeans
loamy,31.46511256,74.44330654,winter,mothbeans
clay,25.60973447,53.39249517,winter,mothbeans
loamy,30.30260453,68.04039813,winter,mothbeans
black,28.17489437,45.78172762,winter,mothbeans
clay,25.50634557,74.32635105,winter,mothbeans
black,31.12896766,32.76742894,winter,mothbeans
black,26.34043268,35.1051197,winter,mothbeans
black,28.23494706,72.66666443,winter,mothbeans
clay,27.04453473,48.25207759,winter,mothbeans
black,25.16125354,40.89732789,winter,mothbeans
black,27.3179125,32.55919573,winter,mothbeans
loamy,25.4123765,31.87416982,winter,mothbeans
clay,31.21629982,53.1205277,winter,mothbeans
clay,30.573999,62.74803826,winter,mothbeans
sandy,25.42517036,46.19374559,winter,mothbeans
black,27.09400578,41.53749535,winter,mothbeans
black,24.30935081,58.99536268,winter,mothbeans
clay,30.06142622,41.0550915,winter,mothbeans
black,28.09568993,33.84110759,winter,mothbeans
sandy,26.33908791,55.50429227,winter,mothbeans
black,28.61409059,57.02891698,winter,mothbeans
black,28.70012137,44.11622138,winter,mothbeans
black,24.21610338,42.24783476,winter,mothbeans
clay,28.50677929,66.1761456,winter,mothbeans
sandy,25.97948991,72.19245835,winter,mothbeans
loamy,30.88482722,55.053805,winter,mothbeans
black,25.5042419,65.07981523,winter,mothbeans
black,25.12528913,38.48678973,winter,mothbeans
black,27.10508014,62.20279647,winter,mothbeans
black,31.1006247,70.79934452,winter,mothbeans
black,26.45707778,64.16167699,winter,mothbeans
black,30.04132304,31.83192392,winter,mothbeans
loamy,27.77799528,50.28438729,winter,mothbeans
clay,30.99256944,58.27600682,winter,mothbeans
sandy,26.4908332,36.99362831,winter,mothbeans
sandy,31.96987867,64.25520357,winter,mothbeans
clay,25.36140526,55.60523179,winter,mothbeans
sandy,25.54249137,48.46797044,winter,mothbeans
loamy,28.99319096,70.4713043,winter,mothbeans
black,29.34317422,34.03335472,winter,mothbeans
black,28.63618921,68.54877876,winter,mothbeans
black,24.83206631,52.0810886,winter,mothbeans
clay,25.44689075,57.04826619,winter,mothbeans
sandy,31.01274943,63.77192383,winter,mothbeans
loamy,27.06179658,60.74583498,winter,mothbeans
clay,27.0956288,71.1271039,winter,mothbeans
sandy,28.56800579,64.53027638,winter,mothbeans
loamy,28.79929247,40.85534718,winter,mothbeans
sandy,27.94293692,69.66289997,winter,mothbeans
loamy,30.47757686,61.86633917,winter,mothbeans
loamy,30.58139475,64.58559639,winter,mothbeans
clay,26.85911286,44.13827124,winter,mothbeans
loamy,26.31051759,35.73403813,winter,mothbeans
sandy,28.77833449,33.95825723,winter,mothbeans
black,28.90245417,71.90018566,winter,mothbeans
sandy,29.37687468,38.34303462,winter,mothbeans
black,24.17093241,59.18953429,winter,mothbeans
black,26.65333029,36.91852635,winter,mothbeans
clay,28.19912143,52.13580529,winter,mothbeans
black,28.76488954,55.21606732,winter,mothbeans
loamy,29.3499706,40.82840673,winter,mothbeans
clay,28.00937423,36.01203025,winter,mothbeans
sandy,26.85851927,34.7426459,winter,mothbeans
black,31.2123945,53.78769958,winter,mothbeans
loamy,24.20422636,46.0203959,winter,mothbeans
clay,29.98835437,52.92929636,winter,mothbeans
clay,29.93964907,45.43669946,winter,mothbeans
sandy,31.2119298,68.80141783,winter,mothbeans
clay,26.80474415,43.87801983,winter,mothbeans
clay,31.49398069,64.56807592,winter,mothbeans
clay,30.99694676,38.31597852,winter,mothbeans
loamy,29.61253065,50.1978269,winter,mothbeans
